instance              us-east-1  us-east-2  us-west-1  us-west-2
ml.g4dn.xlarge                2          2          2          2
ml.g4dn.2xlarge               2          2          2          2
ml.g4dn.4xlarge               1          1          1          1
ml.g4dn.12xlarge              1          1          1          1
ml.g5.xlarge                  2          2          -          2
ml.g5.2xlarge                 2          2          -          2
ml.g5.4xlarge                 1          1          -          1
ml.g5.8xlarge                 1          1          -          1
ml.g5.12xlarge                1          1          -          1
ml.g5.16xlarge                1          1          -          1
ml.g6.xlarge                  1          1          -          1
ml.g6.2xlarge                 1          1          -          1
ml.g6.4xlarge                 1          1          -          1
ml.g6.8xlarge                 1          1          -          1
ml.g6.12xlarge                1          1          -          1
ml.g6.16xlarge                1          1          -          1
ml.g6e.xlarge                 1          1          -          1
ml.g6e.2xlarge                1          1          -          1
ml.g6e.4xlarge                1          1          -          1
ml.g6e.8xlarge                1          1          -          1
ml.g6e.12xlarge               1          1          -          1
ml.g6e.16xlarge               1          1          -          1
ml.inf2.xlarge                0          2          -          0
ml.inf2.8xlarge               0          2          -          0
ml.inf2.24xlarge              0          1          -          0

GPU/accelerator types with nonzero quota per region: {'us-east-1': 22, 'us-east-2': 25, 'us-west-1': 4, 'us-west-2': 22}
L4 (ml.g6.*) types with quota >=1 per region: {'us-east-1': ['ml.g6.xlarge', 'ml.g6.2xlarge', 'ml.g6.4xlarge', 'ml.g6.8xlarge', 'ml.g6.12xlarge', 'ml.g6.16xlarge'], 'us-east-2': ['ml.g6.xlarge', 'ml.g6.2xlarge', 'ml.g6.4xlarge', 'ml.g6.8xlarge', 'ml.g6.12xlarge', 'ml.g6.16xlarge'], 'us-west-1': [], 'us-west-2': ['ml.g6.xlarge', 'ml.g6.2xlarge', 'ml.g6.4xlarge', 'ml.g6.8xlarge', 'ml.g6.12xlarge', 'ml.g6.16xlarge']}
